Evento;Fecha;Hora UTC;Hora Local;Latitud;Longitud;Profundidad;Magnitud;Tipo Mag.;Int. max.;Localización;CodProvincia
es2020bojov;23-1-2020;2:09:40;3:09:40;36,5991;-7,5522;8;2.2;mbLg;;GOLFO DE CÁDIZ;21
es2020bopxh;23-1-2020;5:21:22;6:21:22;43,0654;-0,6079;;2.6;mbLg;;S OLORON STE MARIE.FRA;22
es2020boxst;23-1-2020;9:18:33;10:18:33;36,8922;-5,4619;5;1.8;mbLg;;W ALGODONALES.CA;11
es2020bpben;23-1-2020;11:03:12;11:03:12;28,0108;-16,2866;4;1.7;mbLg;;ATLÁNTICO-CANARIAS;38
es2020bpcpc;23-1-2020;11:45:48;12:45:48;33,8055;-6,7401;9;3.1;M(mb);;SE DAR ES SALAM.MAC;11
es2020bpmes;23-1-2020;16:38:33;17:38:33;42,4502;1,7276;10;1.6;mbLg;;NE LLES DE CERDANYA.L;17
es2020bpvph;23-1-2020;21:12:50;22:12:50;37,3241;-8,6268;17;1.8;mbLg;;W MONCHIQUE.POR;21
es2020bpwri;23-1-2020;21:54:34;22:54:34;42,7916;2,4276;;1.6;mbLg;;W ST. PAUL DE FENOUILLET.FRA;17
es2020bpzmu;23-1-2020;23:20:13;0:20:13;42,1136;-7,1813;;1.9;mbLg;;S VILARIÑO DE CONSO.OU;32
es2020bpzue;23-1-2020;23:28:48;0:28:48;36,8853;-8,3025;20;2.0;mbLg;;GOLFO DE CÁDIZ;21
es2020bqfem;24-1-2020;2:12:22;3:12:22;38,1704;-8,2878;11;1.8;mbLg;;NW FERREIRA DO ALENTEJO.POR;21
es2020bqhmz;24-1-2020;3:22:52;4:22:52;42,7667;2,2905;;1.8;mbLg;;SE QUILLAN.FRA;17
es2020bqhru;24-1-2020;3:28:28;3:28:28;27,9608;-16,2451;2;1.6;mbLg;;ATLÁNTICO-CANARIAS;38
es2020bqhse;24-1-2020;3:28:52;4:28:52;43,0904;-0,0442;1;1.7;mbLg;;S LOURDES.FRA;22
es2020bqijm;24-1-2020;3:49:05;4:49:05;36,4728;-4,2046;;1.6;mbLg;;ALBORÁN OESTE;29
es2020bqpmc;24-1-2020;7:24:17;8:24:17;36,6957;5,7804;;4.9;M(mb);;E BEJAIA.ARG;7
es2020bqruc;24-1-2020;8:34:15;9:34:15;36,5283;-7,4293;1;1.8;mbLg;;GOLFO DE CÁDIZ;21
